original_url;shortened_url
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0F5ME65ZqFu3xqsZ5EfHEEeFqrGBCvWRs5Kn6Nny2V6qqJDqHQXoKokaMsFybV6XXl;https://tinyurl.com/TVTS2024-097
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0yPX4URyFaTuhwiFrufe6qWsiMSgsJqmZmBYr9hY1F4LA2oUwVmJML5PkQpXavuewl;https://tinyurl.com/TVTS2024-098
https://www.facebook.com/share/p/P2fAzE1E8MKoNZfR/;https://tinyurl.com/TVTS2024-099
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02ZUDqEig14tTP443nzS1NNz1BYVLJUJTKFHgFFwJGgEKYmnVUniCeiomG5bUnx9Xml;https://tinyurl.com/TVTS2024-100
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0LbLPhtwVP5JxseyfsBkmMoU1QDV9rEMpAbbsnhSyrCvFFMJ7sfd8k3dvoKrjCsnKl;https://tinyurl.com/TVTS2024-101
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0GQEVakuAqERS4zLA39eywrGeoN6ns75ZguCCnCctMPybsq2PWRtRaSYSdhZm3LVnl;https://tinyurl.com/TVTS2024-102
https://www.facebook.com/reel/1878260069339334;https://tinyurl.com/TVTS2024-103
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02Gn5J7Jb2uuvSsJdLhQfcwatdWb6XDnPniXNKD3cbiuERN1x5Q5YYuzebeKgEnmmAl;https://tinyurl.com/TVTS2024-104
https://www.facebook.com/reel/1511484642907425;https://tinyurl.com/TVTS2024-105
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02WR5omE8f6KxyT4xFXYtMV1fSou259Et4hUz8FUQJs4HecNa1rrns5ogDS6Vpowepl;https://tinyurl.com/TVTS2024-106
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid03JEtePhYJk5XB6zpNRVoisCwigKfLW1VDT9kK1oxG6kiUbf2e9GZRXMYd2FLm9Scl;https://tinyurl.com/TVTS2024-107
https://www.facebook.com/groups/uet.tvts/permalink/2798401160326878/;https://tinyurl.com/TVTS2024-108
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid06sxWjsCt4o8fFquG6tHhoBBtyrBBE5z2rmvTLLQ1GKGQZpFxHcbLNfUYYVnHNCYGl;https://tinyurl.com/TVTS2024-109
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0WEvmCNCgMBE5CyAKjLqCAhyUS15UHNqgofXdzSHUFkVqDXMjav8XSiP6En28uqx6l;https://tinyurl.com/TVTS2024-110
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0EYmeuLEwKETxPfKbVA2kQH35VnAGLA4AcnkzoYnNyQGq9hhszRVZWv2W5MsVpndYl;https://tinyurl.com/TVTS2024-111
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0213Booy7pq5o2usPhT1d8G1bSX348G7AtRRfEbapLKD3g5HYkmxVF7k5orcnFVUPml;https://tinyurl.com/TVTS2024-112
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02ZuEMu8WPfcymURpuxLpHbeQ2pLWWnJDBsjXTdzF1NHMQAzXGS9WGkwxU6Pq6KYSml;https://tinyurl.com/TVTS2024-113
https://www.facebook.com/photo/?fbid=2307383112949572&set=gm.2803234193176908&idorvanity=426349504198734;https://tinyurl.com/TVTS2024-114
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02tjmaurWrv39dfNkKcu8BQtcbZujo8hzhkooDDKCVi8nJcFty4D5YNfb4wQkWhNHWl;https://tinyurl.com/TVTS2024-115
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0wEukhBpQJvYeQHwdwDggqM5ynNfKVyNJwcqu2MDv7gUYya1GGSgJQNJueeAwnafhl;https://tinyurl.com/TVTS2024-116
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid0uPEFFMecwPrASgCTboiuiw1YmJ1JGU4A1Upp6596Rme453nAkgxQZAYauKUixpJol;https://tinyurl.com/TVTS2024-117
https://www.facebook.com/watch/?v=1049746930486925;https://tinyurl.com/TVTS2024-118
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02Y2MCgJgBvSYb32LQXmk2FSj6i3yXAxJvxc7G7EpnUv33g3YUAwGc7c8mRyVZ6Xiil;https://tinyurl.com/TVTS2024-119
https://www.facebook.com/TVTS.UET.VNU/posts/pfbid02vNEf3AMuxGqL9saNpxkCkzZ4z9EBd88X2frLiCn8wUqNZe2T4srcxZZkYh2LezRcl;https://tinyurl.com/TVTS2024-120
